Name,IATA,ICAO,Country
CHC Airways,AW,SCH,Netherlands
Dirgantara Air Service,AW,DIR,Indonesia
Asian Wings Airways,AW,AWM,Burma
Trans States Airlines,AX,LOF,United States
Finnair,AY,FIN,Finland
Alitalia,AZ,AZA,Italy
Aws express,B0,666,United States
Baltic Air lines,B1,BA1,Latvia
Belavia Belarusian Airlines,B2,BRU,Belarus
Bellview Airlines,B3,BLV,Nigeria
BACH Flugbetriebsges,B4,BCF,Austria
Bankair,B4,BKA,United States
Flyglobespan,B4,GSM,United Kingdom
Flightline,B5,FLT,United Kingdom
JetBlue Airways,B6,JBU,United States
Uni Air,B7,UIA,Taiwan
Eritrean Airlines,B8,ERT,Eritrea
Air Bangladesh,B9,BGD,Bangladesh
British Airways,BA,BAW,United Kingdom
Seaborne Airlines,BB,SBS,United States
Skymark Airlines,BC,SKY,Japan
bmi,BD,BMA,United Kingdom
Flybe,BE,BEE,United Kingdom
Aero-Service,BF,RSR,Republic of the Congo
Bluebird Cargo,BF,BBD,Iceland
Biman Bangladesh Airlines,BG,BBC,Bangladesh
Hawkair,BH,,Canada
Royal Brunei Airlines,BI,RBA,Brunei
Nouvel Air Tunisie,BJ,LBT,Tunisia
Potomac Air,BK,PDC,United States
Jetstar Pacific,BL,PIC,Vietnam
Air Sicilia,BM,,Italy
Bayu Indonesia Air,BM,BYE,Indonesia
Braniff International Airways,BN,BNF,United States
Forward Air International Airlines,BN,,United States
Horizon Airlines,BN,HZA,Australia
Bouraq Indonesia Airlines,BO,BOU,Indonesia
Air Botswana,BP,BOT,Botswana
Aeromar,BQ,ROM,Dominican Republic
Buquebus Líneas Aéreas,BQ,BQB,Uruguay
EVA Air,BR,EVA,Taiwan
British International Helicopters,BS,BIH,United Kingdom
Air Baltic,BT,BTI,Latvia
Braathens,BU,BRA,Norway
Blue Sky America,BU,BKY,United States
Baikotovitchestrian Airlines ,BU,BUU,American Samoa
Blue Panorama Airlines,BV,BPA,Italy
Caribbean Airlines,BW,BWA,Trinidad and Tobago
Coast Air,BX,CST,Norway
Air Busan,BX,ABL,Republic of Korea
Thomsonfly,BY,TOM,United Kingdom
Blue Dart Aviation,BZ,BDA,India
Keystone Air Services,BZ,KEE,Canada
Aero Brazil,BZ,BZL,Brazil
Black Stallion Airways,BZ,BSA,United States
Centralwings,C0,CLW,Poland
CanXpress,C1,CA1,Canada
CanXplorer,C2,CAP,Canada
Contact Air,C3,KIS,Germany
ICAR Airlines,C3,,Ukraine
QatXpress,C3,QAX,Qatar
Zimex Aviation,C4,IMX,Switzerland
LionXpress,C4,LIX,Cameroon
CommutAir,C5,UCA,United States
CanJet,C6,CJA,Canada
Rico Linhas A,C7,RLE,Brazil
Sky Wing Pacific,C7,CR7,South Korea
Chicago Express,C8,WDY,United States
Chicago Express (C8),C8,\N,United States
Cirrus Airlines,C9,RUS,Germany
Air China,CA,CCA,China
Suckling Airways,CB,\N,United Kingdom
CCML Airlines,CB,CCC,Colombia
Air Atlanta Icelandic,CC,ABD,Iceland
Macair Airlines,CC,MCK,Australia
Alliance Air,CD,LLR,India
Air India Regional,CD,\N,India
Nationwide Airlines,CE,NTW,South Africa
City Airline,CF,SDR,Sweden
Airlines PNG,CG,TOK,Papua New Guinea
Bemidji Airlines,CH,BMJ,United States
China Airlines,CI,CAL,Taiwan
China Northern Airlines,CJ,CBF,China
BA CityFlyer,CJ,CFE,United Kingdom
China Cargo Airlines,CK,CKK,China
Lufthansa CityLine,CL,CLH,Germany
Copa Airlines,CM,CMP,Panama
Islands Nationair,CN,,Papua New Guinea
Westward Airways,CN,WWD,United States
Canadian National Airways,CN,YCP,Canada
Continental Airlines,CO,COA,United States
Continental Express,CO,,United States
Canadian Airlines,CP,CDN,Canada
Compass Airlines,CP,CPZ,United States
Sunshine Express Airlines,CQ,EXL,Australia
SOCHI AIR,CQ,KOL,Russia
OAG,CR,,United Kingdom
Air Ops,CR,\N,Sweden
Continental Micronesia,CS,CMI,United States
Civil Air Transport,CT,CAT,Taiwan
Alitalia Cityliner,CT,\N,Italy
Cubana de Aviación,CU,CUB,Cuba
Air Chathams,CV,CVA,New Zealand
Cargolux,CV,CLX,Luxembourg
Air Marshall Islands,CW,CWM,Marshall Islands
Cathay Pacific,CX,CPA,Hong Kong SAR of China
Cyprus Airways,CY,CYP,Cyprus
China Southern Airlines,CZ,CSN,China
Domenican Airlines,D1,MDO,Dominican Republic
Severstal Air Company,D2,\N,Russia
Daallo Airlines,D3,DAO,Djibouti
Alidaunia,D4,LID,Italy
Dauair,D5,DAU,Germany
Skyline nepc,D5,\N,India
NEPC Airlines,D5,\N,India
Interair South Africa,D6,ILN,South Africa
Dinar,D7,RDN,Argentina
AirAsia X,D7,XAX,Malaysia
Djibouti Airlines,D8,DJB,Djibouti
Aeroflot-Don,D9,DNV,Russia
Air Georgia,DA,GRG,Georgia
Dana Air,DA,\N,Nigeria
Brit Air,DB,BZH,France
Golden Air,DC,GAO,Sweden
Nok Air,DD,NOK,Thailand
Condor Flugdienst,DE,CFG,Germany
Michael Airlines,DF,MJG,Puerto Rico
South East Asian Airlines,DG,SRQ,Philippines
Discovery Airways,DH,DVA,United States
Independence Air,DH,IDE,United States
Dennis Sky,DH,DSY,Israel
dba,DI,BAG,Germany
Pacific Blue,DJ,PBN,New Zealand
Polynesian Blue,DJ,PLB,New Zealand
Virgin Blue,DJ,VBI,Australia
Eastland Air,DK,ELA,Australia
Delta Air Lines,DL,DAL,United States
Maersk,DM,,Denmark
Voronezhskie Airlanes,DN,\N,Russia
Alinord,DN,\N,Italy
Senegal Airlines,DN,SGG,Senegal
Dominicana de Aviaci,DO,DOA,Dominican Republic
First Choice Airways,DP,FCA,United Kingdom
Coastal Air,DQ,,United States
Air Mediterranee,DR,BIE,France
EasyJet (DS),DS,\N,Switzerland
TAAG Angola Airlines,DT,DTA,Angola
Hemus Air,DU,HMS,Bulgaria
Norwegian Long Haul AS,DU,NLH,Norway
Lufttaxi Fluggesellschaft,DV,LTF,Germany
Nantucket Airlines,DV,ACK,United States
Scat Air,DV,VSV,Kazakhstan
Aero-Charter Ukraine,DW,UCR,Ukraine
Deutsche Luftverkehrsgesellschaft,DW,DLT,Germany
Deutsche Luftverkehrsgesellschaft (DLT),DW,DWD,Germany
DAT Danish Air Transport,DX,DTR,Denmark
Norwegian Air Shuttle,DY,NAX,Norway
Starline.kz,DZ,\N,Kazakhstan
Eos Airlines,E0,ESS,United States
Usa Sky Cargo,E1,ES2,United States
Kampuchea Airlines,E2,KMP,Cambodia
Rio Grande Air,E2,GRN,United States
Eagle Atlantic Airlines,E2,\N,Ghana
Domodedovo Airlines,E3,DMO,Russia
Aero Asia International,E4,RSO,Pakistan
Elysian Airlines,E4,GIE,Cameroon
Samara Airlines,E5,BRZ,Russia
Air Arabia Egypt,E5,RBG,Egypt
Bringer Air Cargo Taxi Aereo,E6,,Brazil
Aviaexpresscruise,E6,\N,Russia
Estafeta Carga Aerea,E7,ESF,Mexico
European Aviation Air Charter,E7,EAF,United Kingdom
Alpi Eagles,E8,ELG,Italy
Alpi Eagles (E8),E8,\N,Italy
US Africa Airways,E8,\N,United States
City Airways,E8,GTA,Thailand
Boston-Maine Airways,E9,CXS,United States
AJT Air International,E9,\N,Russia
Compagnie Africaine d\\'Aviation,E9,\N,Congo (Kinshasa)
European Air Express,EA,EAL,Germany
Avialeasing Aviation Company,EC,TWN,Uzbekistan
Airblue,ED,ABQ,Pakistan
Aero Airlines,EE,EAY,Estonia
Nordica,EE,\N,Estonia
Far Eastern Air Transport,EF,EFA,Taiwan
Japan Asia Airways,EG,JAA,Japan
Air Nippon Network Co. Ltd.,EH,AKX,Japan
SAETA,EH,SET,Ecuador
Euro Harmony,EH,EHM,Portugal
Aer Lingus,EI,EIN,Ireland
New England Airlines,EJ,NEA,United States
Emirates,EK,UAE,United Arab Emirates
Air Nippon,EL,ANK,Japan
Aero Benin,EM,AEB,Benin
Empire Airlines,EM,CFS,United States
Air Dolomiti,EN,DLA,Italy
Express One International,EO,LHN,United States
Hewa Bora Airways,EO,ALX,Democratic Republic of the Congo
Iran Aseman Airlines,EP,IRC,Iran
TAME,EQ,TAE,Ecuador
Astar Air Cargo,ER,DHL,United States
Fly Europa,ER,RWW,Spain
DHL International,ES,DHX,Bahrain
EuropeSky,ES,EUV,Germany
Ethiopian Airlines,ET,ETH,Ethiopia
Empresa Ecuatoriana De Aviacion,EU,EEA,Ecuador
Atlantic Southeast Airlines,EV,ASQ,United States
Eurowings,EW,EWG,Germany
Air Santo Domingo,EX,SDO,Dominican Republic
Wings of England,EX,"..,",United Kingdom
Europe Jet,EX,EU9,France
Etihad Airways,EY,ETD,United Arab Emirates
Evergreen International Airlines,EZ,EIA,United States
Sun Air of Scandinavia,EZ,SUS,Denmark
Fly Brasil,F1,FBL,Brazil
Fly Air,F2,FLM,Turkey
Faso Airways,F3,FSW,Burkina Faso
Albarka Air,F4,NBK,Nigeria
International Flying Service,F4,\N,Italy
Cosmic Air,F5,COZ,Nepal
Global Freightways,F5,GF5,United States
Fly One,F5,FI5,Moldova
Faroejet,F6,RCK,Faroe Islands
Flybaboo,F7,BBO,Switzerland
Air2there,F8,\N,New Zealand
Frontier Airlines,F9,FFT,United States
Safair,FA,SFR,South Africa
Epic Holiday,FA,4AA,United States
Bulgaria Air,FB,LZB,Bulgaria
Finncomm Airlines,FC,WBA,Finland
Thai AirAsia,FD,AIQ,Thailand
Primaris Airlines,FE,WCP,United States
Airshop,FF,,Netherlands
Tower Air,FF,TOW,United States
Fly France,FF,FRF,France
Ariana Afghan Airlines,FG,AFG,Afghanistan
Futura International Airways,FH,FUA,Spain
FlyHigh Airlines Ireland (FH),FH,FHI,Ireland
Icelandair,FI,ICE,Iceland
Air Pacific,FJ,FJI,Fiji
Africa West,FK,WTA,Togo
AirTran Airways,FL,TRS,United States
Shanghai Airlines,FM,CSH,China
Regional Airlines,FN,,Morocco
Airlines Of Tasmania,FO,ATM,Australia
Freedom Air,FP,FRE,United States
Thomas Cook Airlines,FQ,TCW,Belgium
Ryanair,FR,RYR,Ireland
Servicios de Transportes A,FS,STU,Argentina
Siem Reap Airways,FT,SRH,Cambodia
Felix Airways,FU,FXX,Yemen
Rossiya-Russian Airlines,FV,SDM,Russia
Ibex Airlines,FW,IBX,Japan
Federal Express,FX,FDX,United States
FOX Linhas Aereas,FX,FOX,Brazil
Firefly,FY,FFM,Malaysia
Northwest Regional Airlines,FY,NWR,Australia
Fly Dubai,FZ,FDB,United Arab Emirates
Ghana International Airlines,G0,GHB,Ghana
Gorkha Airlines,G1,IKA,Nepal
Indya Airline Group,G1,IG1,India
Avirex,G2,VXG,Gabon
City Connexion Airlines,G3,CIX,Burundi
Gol Transportes Aéreos,G3,GLO,Brazil
Sky Express,G3,SEH,Greece
Allegiant Air,G4,AAY,United States
Huaxia,G5,\N,China
Guine Bissaur Airlines,G6,BSR,Guinea-Bissau
Air Volga,G6,\N,Russia
Gandalf Airlines,G7,GNF,Italy
GoJet Airlines,G7,GJS,United States
Air Service Gabon,G8,AGB,Gabon
Enkor JSC,G8,ENK,Russia]]
Go Air,G8,GOW,India
Gujarat Airways,G8,GUJ,India
Air Arabia,G9,ABY,United Arab Emirates
Garuda Indonesia,GA,GIA,Indonesia
Airborne Express,GB,ABX,United States
ABX Air,GB,ABX,United States
BRAZIL AIR,GB,BZE,Brazil
Gambia International Airlines,GC,GNR,Gambia
Lina Congo,GC,\N,Congo (Brazzaville)
Air Alpha Greenland,GD,AHA,Denmark
GoDutch,GD,GOD,Netherlands
TransAsia Airways,GE,TNA,Taiwan
Gulf Air Bahrain,GF,GBA,Bahrain
Air Guyane,GG,GUY,French Guiana
Air Comores International,GG,HAH,Comoros
Cargo 360,GG,GGC,United States
Globus,GH,GLP,Russia
Itek Air,GI,IKA,Kyrgyzstan
Compania Mexicargo,GJ,MXC,Mexico
Eurofly Service,GJ,EEU,Italy
Go One Airways,GK,,United Kingdom
Genesis,GK,\N,Pakistan
Air Greenland,GL,GRL,Denmark
Miami Air International,GL,BSK,United States
Air Slovakia,GM,SVK,Slovakia
Flitestar,GM,===,South Africa
German International Air Lines,GM,GER,Germany
Air Gabon,GN,AGN,Gabon
GNB Linhas Aereas,GN,\N,Brazil
Kuzu Airlines Cargo,GO,KZU,Turkey
Gestair,GP,GES,Spain
Palau Trans Pacific Airline,GP,PTP,Palau
Gadair European Airlines,GP,GDR,Spain
Big Sky Airlines,GQ,BSY,United States
Aurigny Air Services,GR,AUR,United Kingdom
Gemini Air Cargo,GR,GCO,United States
Air Foyle,GS,UPA,United Kingdom
Grant Aviation,GS,GUN,United States
GB Airways,GT,GBL,United Kingdom
Gulisano airways,GU,GU1,Italy
Aero Flight,GV,ARF,Germany
Kuban Airlines,GW,KIL,Russia
Jetx Airlines,GX,JXX,Iceland
Pacificair,GX,,Philippines
GREAT LAKES (GX),GX,\N,Canada
GermanXL,GX,GXG,Germany
Guyana Airways 2000,GY,,
Tri-MG Intra Asia Airlines,GY,TMG,Indonesia
Gabon Airlines,GY,GBK,Gabon
Air Rarotonga,GZ,RAR,Cook Islands
Hankook Air US,H1,HA1,United States
Sky Airline,H2,SKU,Chile
THREE,H3,T33,China
Harbour Air (Priv),H3,\N,Canada
Héli Sécurité Helicopter Airlines,H4,,France
Inter Islands Airlines,H4,IIN,Cape Verde
Hola Airlines,H5,HOA,Spain
Mavial Magadan Airlines,H5,MVL,Russia
I-Fly,H5,RSY,Russia
Hageland Aviation Services,H6,HAG,United States
Eagle Air,H7,,Uganda
Dalavia,H8,KHB,Russia
Air D'Ayiti,H9,HAD,Haiti
Izair,H9,IZM,Turkey
PEGASUS AIRLINES-,H9,\N,Turkey
Hawaiian Airlines,HA,HAL,United States
Harbor Airlines,HB,HAR,United States
Aero-Tropics Air Services,HC,ATI,Australia
Himalayan Airlines,HC,HYM,Nepal
Hokkaido International Airlines,HD,ADO,Japan
Luftfahrtgesellschaft Walter,HE,LGW,Germany
Hapagfly,HF,HLF,Germany
Niki,HG,NLY,Austria
Hope Air,HH,,Canada
Air Hamburg (AHO),HH,AHO,Germany
Papillon Grand Canyon Helicopters,HI,\N,United States
Asian Express Airlines,HJ,AXF,Australia
Four Star Aviation / Four Star Cargo,HK,FSC,United States
Yangon Airways,HK,\N,Burma
Air Seychelles,HM,SEY,Seychelles
Heavylift Cargo Airlines,HN,HVY,Australia
Hankook Airline,HN,HNX,South Korea
Antinea Airlines,HO,DJA,Algeria
Juneyao Airlines,HO,DKH,China
America West Airlines,HP,AWE,United States
Hawaiian Pacific Airlines,HP,,United States
Pearl Airways,HP,HPA,Haiti
Phoenix Airways,HP,,Switzerland
Harmony Airways,HQ,HMY,Canada
HQ- Business Express,HQ,\N,United States
China United Airlines,HR,CUA,China
Hahn Air,HR,HHN,Germany
Aeromist-Kharkiv,HT,AHW,Ukraine
Hellenic Imperial Airways,HT,IMP,Greece
Hainan Airlines,HU,CHH,China
Transavia Holland,HV,TRA,Netherlands
Hello,HW,FHE,Switzerland
North-Wright Airways,HW,NWL,Canada
Hong Kong Airlines,HX,CRK,Hong Kong SAR of China
Uzbekistan Airways,HY,UZB,Uzbekistan
Sat Airlines,HZ,SOZ,Kazakhstan
Iberia Express,I2,IBS,Spain
ATA Airlines (Iran),I3,\N,Iran
Interstate Airline,I4,FWA,Netherlands
International AirLink,I4,\N,Jamaica
Indonesia Sky,I5,IDS,Indonesia
Sky Eyes,I6,SEQ,Thailand
MexicanaLink,I6,MXI,Mexico
Paramount Airways,I7,PMW,India
IzAvia,I8,\N,Russia
Air Italy,I9,AEY,Italy
Indigo,I9,IBU,United States
Iraqi Airways,IA,IAW,Iraq
Iberia Airlines,IB,IBE,Spain
Indian Airlines,IC,IAC,India
